,Freq,review,pos_tag,neg,neu,pos,compound
2084,8,l   o   g   i   c   a   l,"('l   o   g   i   c   a   l', 'NN')",0.0,0.0,0.0,0.0
1681,8,o   n   b   o   a   r   d   i   n   g,"('o   n   b   o   a   r   d   i   n   g', 'NN')",0.0,0.0,0.0,0.0
236,8,t   h   e   r   e   f   o   r  ,"('t   h   e   r   e   f   o   r  ', 'NN')",0.0,0.0,0.0,0.0
1606,8,b   e   n   a   d   e   t   t  ,"('b   e   n   a   d   e   t   t  ', 'NN')",0.0,0.0,0.0,0.0
235,8,l   e   a   r   n  ,"('l   e   a   r   n  ', 'NN')",0.0,0.0,0.0,0.0
1020,8,a   d   m   i   n,"('a   d   m   i   n', 'NN')",0.0,0.0,0.0,0.0
160,8,f   i   n   a   l   l   i,"('f   i   n   a   l   l   i', 'NN')",0.0,0.0,0.0,0.0
1008,8,s   t   e   p,"('s   t   e   p', 'NN')",0.0,0.0,0.0,0.0
1774,8,d   a   u   g   l   a  ,"('d   a   u   g   l   a  ', 'NN')",0.0,0.0,0.0,0.0
1780,8,i   n   t   e   r   a   c   t   i   v  ,"('i   n   t   e   r   a   c   t   i   v  ', 'NN')",0.0,0.0,0.0,0.0
1787,8,d   a   n   i   e   l,"('d   a   n   i   e   l', 'NN')",0.0,0.0,0.0,0.0
1790,8,p   r   i   m   a   r   i,"('p   r   i   m   a   r   i', 'NN')",0.0,0.0,0.0,0.0
1703,8,l   e   d,"('l   e   d', 'NN')",0.0,0.0,0.0,0.0
1052,8,g   r   o   u   p,"('g   r   o   u   p', 'NN')",0.0,0.0,0.0,0.0
3788,8,e   x   p   r   e   s   s   e   d,"('e   x   p   r   e   s   s   e   d', 'NN')",0.0,0.0,0.0,0.0
955,8,t   a   b   l  ,"('t   a   b   l  ', 'NN')",0.0,0.0,0.0,0.0
1824,8,c   a   l   l   e   d,"('c   a   l   l   e   d', 'NN')",0.0,0.0,0.0,0.0
1845,8,m   a   r   t   h   a,"('m   a   r   t   h   a', 'NN')",0.0,0.0,0.0,0.0
1919,8,c   o   m   p   l   e   x,"('c   o   m   p   l   e   x', 'NN')",0.0,0.0,0.0,0.0
227,8,a   r   c   h   i   t   e   c   t   u   r  ,"('a   r   c   h   i   t   e   c   t   u   r  ', 'NN')",0.0,0.0,0.0,0.0
905,8,s   t   r   o   n   g,"('s   t   r   o   n   g', 'NN')",0.0,0.0,0.0,0.0
1076,8,d   e   d   i   c   a   t   i   o   n,"('d   e   d   i   c   a   t   i   o   n', 'NN')",0.0,0.0,0.0,0.0
4528,8,v   e   l   o   c   i   t   i,"('v   e   l   o   c   i   t   i', 'NN')",0.0,0.0,0.0,0.0
2530,8,s   s   e   m   u   g   a,"('s   s   e   m   u   g   a', 'NN')",0.0,0.0,0.0,0.0
4623,8,b   r   i   e   f,"('b   r   i   e   f', 'NN')",0.0,0.0,0.0,0.0
2120,8,c   o   u   n   t,"('c   o   u   n   t', 'NN')",0.0,0.0,0.0,0.0
299,8,p   r   i   n   t   e   r,"('p   r   i   n   t   e   r', 'NN')",0.0,0.0,0.0,0.0
2669,8,s   t   a   l   k   i   n   g,"('s   t   a   l   k   i   n   g', 'NN')",0.0,0.0,0.0,0.0
2815,8,i   n   t   e   r   i   o   r,"('i   n   t   e   r   i   o   r', 'NN')",0.0,0.0,0.0,0.0
3092,8,l   i   s   t,"('l   i   s   t', 'NN')",0.0,0.0,0.0,0.0
1577,8,i   r   r   e   s   p   e   c   t   i   v  ,"('i   r   r   e   s   p   e   c   t   i   v  ', 'NN')",0.0,0.0,0.0,0.0
1158,8,l   i   b   r   a   r   i,"('l   i   b   r   a   r   i', 'NN')",0.0,0.0,0.0,0.0
2163,8,j   o   i   n,"('j   o   i   n', 'NN')",0.0,0.0,0.0,0.0
2129,8,j   a   c   i   n   t   a   h,"('j   a   c   i   n   t   a   h', 'NN')",0.0,0.0,0.0,0.0
2121,8,s   u   m,"('s   u   m', 'NN')",0.0,0.0,0.0,0.0
684,8,w   e   b   s   i   t  ,"('w   e   b   s   i   t  ', 'NN')",0.0,0.0,0.0,0.0
1201,8,s   t   a   g  ,"('s   t   a   g  ', 'NN')",0.0,0.0,0.0,0.0
4688,8,h   o   u   s  ,"('h   o   u   s  ', 'NN')",0.0,0.0,0.0,0.0
3111,8,d   e   t   e   c   t   i   o   n,"('d   e   t   e   c   t   i   o   n', 'NN')",0.0,0.0,0.0,0.0
3500,8,e   n   g   a   g   e   m   e   n   t,"('e   n   g   a   g   e   m   e   n   t', 'NN')",0.0,0.0,0.0,0.0
2636,8,e   x   t   r   e   m   e   l   i,"('e   x   t   r   e   m   e   l   i', 'NN')",0.0,0.0,0.0,0.0
2107,8,a   d   a   p   t,"('a   d   a   p   t', 'NN')",0.0,0.0,0.0,0.0
5499,8,f   u   n,"('f   u   n', 'NN')",0.0,0.0,0.0,0.0
1834,7,t   r   e   v   o   r,"('t   r   e   v   o   r', 'NN')",0.0,0.0,0.0,0.0
1871,7,p   r   i   s   c   i   l   l   a,"('p   r   i   s   c   i   l   l   a', 'NN')",0.0,0.0,0.0,0.0
1399,7,u   p   o   n,"('u   p   o   n', 'JJ')",0.0,0.0,0.0,0.0
1843,7,p   a   i,"('p   a   i', 'NN')",0.0,0.0,0.0,0.0
1905,7,r   i   s   k,"('r   i   s   k', 'NN')",0.0,0.0,0.0,0.0
2487,7,a   c   h   i   e   v   e   d,"('a   c   h   i   e   v   e   d', 'NN')",0.0,0.0,0.0,0.0
2719,7,e   c   o   m   m   e   r   c  ,"('e   c   o   m   m   e   r   c  ', 'NN')",0.0,0.0,0.0,0.0
3261,7,j   o   n   a  ,"('j   o   n   a  ', 'NN')",0.0,0.0,0.0,0.0
1823,7,j   e   d   i   d   i   a   h,"('j   e   d   i   d   i   a   h', 'NN')",0.0,0.0,0.0,0.0
1692,7,s   o   o   n,"('s   o   o   n', 'NN')",0.0,0.0,0.0,0.0
3114,7,g   e   o,"('g   e   o', 'NN')",0.0,0.0,0.0,0.0
1806,7,c   o   r   r   e   c   t,"('c   o   r   r   e   c   t', 'NN')",0.0,0.0,0.0,0.0
3253,7,t   e   r   m   i   n   a   t  ,"('t   e   r   m   i   n   a   t  ', 'NN')",0.0,0.0,0.0,0.0
3775,7,a   u   t   h   e   n   t   i   c   a   t   i   o   n,"('a   u   t   h   e   n   t   i   c   a   t   i   o   n', 'NN')",0.0,0.0,0.0,0.0
1729,7,p   e   r   f   e   c   t   l   i,"('p   e   r   f   e   c   t   l   i', 'NN')",0.0,0.0,0.0,0.0
3475,7,e   x   a   m,"('e   x   a   m', 'NN')",0.0,0.0,0.0,0.0
2536,7,p   r   o   a   c   t   i   v  ,"('p   r   o   a   c   t   i   v  ', 'NN')",0.0,0.0,0.0,0.0
1719,7,f   a   c   i   n   g,"('f   a   c   i   n   g', 'NN')",0.0,0.0,0.0,0.0
1737,7,s   h   a   r   i   f   a,"('s   h   a   r   i   f   a', 'NN')",0.0,0.0,0.0,0.0
3807,7,e   n   t   h   u   s   i   a   s   t   i   c,"('e   n   t   h   u   s   i   a   s   t   i   c', 'NN')",0.0,0.0,0.0,0.0
1768,7,n   a   b   i   l,"('n   a   b   i   l', 'JJ')",0.0,0.0,0.0,0.0
2278,7,t   y   p  ,"('t   y   p  ', 'NN')",0.0,0.0,0.0,0.0
1358,7,s   c   h   e   d   u   l   e   d,"('s   c   h   e   d   u   l   e   d', 'NN')",0.0,0.0,0.0,0.0
2243,7,a   n   a   l   y   t   i   c  ,"('a   n   a   l   y   t   i   c  ', 'NN')",0.0,0.0,0.0,0.0
1786,7,m   o   s   e  ,"('m   o   s   e  ', 'NN')",0.0,0.0,0.0,0.0
3477,7,w   e   a   t   h   e   r,"('w   e   a   t   h   e   r', 'NN')",0.0,0.0,0.0,0.0
2946,7,p   r   o   c   e   d   u   r  ,"('p   r   o   c   e   d   u   r  ', 'NN')",0.0,0.0,0.0,0.0
2241,7,s   c   r   i   p   t,"('s   c   r   i   p   t', 'NN')",0.0,0.0,0.0,0.0
2292,7,p   a   s   t,"('p   a   s   t', 'NN')",0.0,0.0,0.0,0.0
3497,7,i   d   e   n   t   i   f   i   e   d,"('i   d   e   n   t   i   f   i   e   d', 'NN')",0.0,0.0,0.0,0.0
2543,7,s   t   a   t   i   c,"('s   t   a   t   i   c', 'NN')",0.0,0.0,0.0,0.0
2303,7,c   h   a   n   g   i   n   g,"('c   h   a   n   g   i   n   g', 'NN')",0.0,0.0,0.0,0.0
2639,7,m   i   n   i   m   u   m,"('m   i   n   i   m   u   m', 'NN')",0.0,0.0,0.0,0.0
1928,7,a   c   q   u   a   i   n   t   e   d,"('a   c   q   u   a   i   n   t   e   d', 'NN')",0.0,0.0,0.0,0.0
2356,7,e   l   i   j   a   h,"('e   l   i   j   a   h', 'NN')",0.0,0.0,0.0,0.0
3060,7,c   a   f  ,"('c   a   f  ', 'NN')",0.0,0.0,0.0,0.0
1617,7,l   a   c   k,"('l   a   c   k', 'NN')",0.0,0.0,0.0,0.0
3356,7,m   a   n   a   g   e   r,"('m   a   n   a   g   e   r', 'NN')",0.0,0.0,0.0,0.0
5403,7,s   e   g   m   e   n   t,"('s   e   g   m   e   n   t', 'NN')",0.0,0.0,0.0,0.0
3088,7,c   u   s   t   o   m   e   r,"('c   u   s   t   o   m   e   r', 'NN')",0.0,0.0,0.0,0.0
2047,7,p   o   n   t   o   o   n,"('p   o   n   t   o   o   n', 'NN')",0.0,0.0,0.0,0.0
2059,7,c   o   n   t   i   n   u   o   u  ,"('c   o   n   t   i   n   u   o   u  ', 'NN')",0.0,0.0,0.0,0.0
2379,7,i   m   p   o   r   t   a   n   t   l   i,"('i   m   p   o   r   t   a   n   t   l   i', 'NN')",0.0,0.0,0.0,0.0
3376,7,p   l   a   n   n   e   d,"('p   l   a   n   n   e   d', 'NN')",0.0,0.0,0.0,0.0
2074,7,s   h   i   v   a   n,"('s   h   i   v   a   n', 'NN')",0.0,0.0,0.0,0.0
2404,7,d   i   s   p   l   a   i,"('d   i   s   p   l   a   i', 'NN')",0.0,0.0,0.0,0.0
1615,7,o   r   g,"('o   r   g', 'NN')",0.0,0.0,0.0,0.0
2375,7,p   r   o   v   i   d   i   n   g,"('p   r   o   v   i   d   i   n   g', 'NN')",0.0,0.0,0.0,0.0
2082,7,c   o   n   s   i   s   t   e   n   t,"('c   o   n   s   i   s   t   e   n   t', 'NN')",0.0,0.0,0.0,0.0
3085,7,e   n   a   b   l   e  ,"('e   n   a   b   l   e  ', 'NN')",0.0,0.0,0.0,0.0
1609,7,i   n   c   l   u   d  ,"('i   n   c   l   u   d  ', 'NN')",0.0,0.0,0.0,0.0
1479,7,p   r   o   p   e   r   l   i,"('p   r   o   p   e   r   l   i', 'NN')",0.0,0.0,0.0,0.0
2364,7,r   a   t   h   e   r,"('r   a   t   h   e   r', 'NN')",0.0,0.0,0.0,0.0
2598,7,t   o   p   i   c,"('t   o   p   i   c', 'NN')",0.0,0.0,0.0,0.0
2247,7,g   a   t   h   e   r   i   n   g,"('g   a   t   h   e   r   i   n   g', 'NN')",0.0,0.0,0.0,0.0
3270,7,g   o   r   d   a   n,"('g   o   r   d   a   n', 'NN')",0.0,0.0,0.0,0.0
5130,7,g   o   o   d   v   e   r   i,"('g   o   o   d   v   e   r   i', 'NN')",0.0,0.0,0.0,0.0
2304,7,p   e   r   f   o   r   m   i   n   g,"('p   e   r   f   o   r   m   i   n   g', 'NN')",0.0,0.0,0.0,0.0
3086,7,r   e   g   i   s   t   e   r,"('r   e   g   i   s   t   e   r', 'NN')",0.0,0.0,0.0,0.0
2575,7,d   i   s   c   u  ,"('d   i   s   c   u  ', 'NN')",0.0,0.0,0.0,0.0
1975,7,p   e   r   f   o   r   m,"('p   e   r   f   o   r   m', 'NN')",0.0,0.0,0.0,0.0
1674,7,w   o   o   c   o   m   m   e   r   c  ,"('w   o   o   c   o   m   m   e   r   c  ', 'NN')",0.0,0.0,0.0,0.0
5197,7,p   r   o   g   r   e   s   s   h  ,"('p   r   o   g   r   e   s   s   h  ', 'NN')",0.0,0.0,0.0,0.0
1978,7,s   e   t   t   i   n   g,"('s   e   t   t   i   n   g', 'NN')",0.0,0.0,0.0,0.0
2183,7,r   e   s   t,"('r   e   s   t', 'NN')",0.0,0.0,0.0,0.0
3343,7,s   h   a   d   r   a   c   k,"('s   h   a   d   r   a   c   k', 'NN')",0.0,0.0,0.0,0.0
1668,7,p   l   u   g   i   n,"('p   l   u   g   i   n', 'NN')",0.0,0.0,0.0,0.0
3141,7,s   o   f   t   w   a   r  ,"('s   o   f   t   w   a   r  ', 'NN')",0.0,0.0,0.0,0.0
3647,7,e   x   p   e   n   s   i   v  ,"('e   x   p   e   n   s   i   v  ', 'NN')",0.0,0.0,0.0,0.0
2141,7,a   c   r   o   s  ,"('a   c   r   o   s  ', 'NN')",0.0,0.0,0.0,0.0
2702,7,v   i   r   t   u   a   l   i   z   a   t   i   o   n,"('v   i   r   t   u   a   l   i   z   a   t   i   o   n', 'NN')",0.0,0.0,0.0,0.0
3144,7,a   p   p   r   e   c   i   a   t   e   d,"('a   p   p   r   e   c   i   a   t   e   d', 'NN')",0.0,0.0,0.0,0.0
2990,7,c   o   m  ,"('c   o   m  ', 'NN')",0.0,0.0,0.0,0.0
2770,7,o   b   j   e   c   t   i   v  ,"('o   b   j   e   c   t   i   v  ', 'NN')",0.0,0.0,0.0,0.0
3130,7,s   u   p   e   r   v   i   s   o   r,"('s   u   p   e   r   v   i   s   o   r', 'NN')",0.0,0.0,0.0,0.0
1286,7,v   e   r   s   i   o   n,"('v   e   r   s   i   o   n', 'NN')",0.0,0.0,0.0,0.0
464,7,t   e   r   m   i   n   a   t   i   n   g,"('t   e   r   m   i   n   a   t   i   n   g', 'NN')",0.0,0.0,0.0,0.0
4488,7,g   o   a   l,"('g   o   a   l', 'NN')",0.0,0.0,0.0,0.0
1041,7,m   i   c   r   o   s   o   f   t,"('m   i   c   r   o   s   o   f   t', 'NN')",0.0,0.0,0.0,0.0
396,7,i   n   t   e   r   c   o   n   n   e   c   t,"('i   n   t   e   r   c   o   n   n   e   c   t', 'NN')",0.0,0.0,0.0,0.0
1187,7,f   a   i   t   h,"('f   a   i   t   h', 'NN')",0.0,0.0,0.0,0.0
603,7,m   o   o   d   l  ,"('m   o   o   d   l  ', 'NN')",0.0,0.0,0.0,0.0
1156,7,o   b   j   e   c   t,"('o   b   j   e   c   t', 'NN')",0.0,0.0,0.0,0.0
1153,7,j   o   s   e   p   h,"('j   o   s   e   p   h', 'NN')",0.0,0.0,0.0,0.0
606,7,m   a   n   a   g  ,"('m   a   n   a   g  ', 'NN')",0.0,0.0,0.0,0.0
777,7,t   r   a   c   k,"('t   r   a   c   k', 'NN')",0.0,0.0,0.0,0.0
995,7,t   y   p  ,"('t   y   p  ', 'NN')",0.0,0.0,0.0,0.0
910,7,e   t   h   i   c,"('e   t   h   i   c', 'NN')",0.0,0.0,0.0,0.0
471,7,k   n   o   w   i   n   g,"('k   n   o   w   i   n   g', 'NN')",0.0,0.0,0.0,0.0
4337,7,k   i   t,"('k   i   t', 'NN')",0.0,0.0,0.0,0.0
203,7,t   r   i,"('t   r   i', 'NN')",0.0,0.0,0.0,0.0
911,7,a   s   s   e   t,"('a   s   s   e   t', 'NN')",0.0,0.0,0.0,0.0
415,7,r   e   g   a   r   d,"('r   e   g   a   r   d', 'NN')",0.0,0.0,0.0,0.0
704,7,g   e   n   e   r   a   t  ,"('g   e   n   e   r   a   t  ', 'NN')",0.0,0.0,0.0,0.0
1314,7,i   n   i   t   i   a   l,"('i   n   i   t   i   a   l', 'NN')",0.0,0.0,0.0,0.0
475,7,p   r   e   s   e   n   c  ,"('p   r   e   s   e   n   c  ', 'NN')",0.0,0.0,0.0,0.0
1006,7,s   p   e   e   d,"('s   p   e   e   d', 'NN')",0.0,0.0,0.0,0.0
830,7,t   i   m  ,"('t   i   m  ', 'NN')",0.0,0.0,0.0,0.0
106,7,a   s   s   o   c   i   a   t   e   d,"('a   s   s   o   c   i   a   t   e   d', 'NN')",0.0,0.0,0.0,0.0
109,7,o   v   e   r   c   o   m  ,"('o   v   e   r   c   o   m  ', 'NN')",0.0,0.0,0.0,0.0
1004,7,a   c   c   e   p   t   a   n   c  ,"('a   c   c   e   p   t   a   n   c  ', 'NN')",0.0,0.0,0.0,0.0
4338,7,b   o   n   n   i,"('b   o   n   n   i', 'NN')",0.0,0.0,0.0,0.0
4700,7,t   r   a   i   n   e   r,"('t   r   a   i   n   e   r', 'NN')",0.0,0.0,0.0,0.0
117,7,s   t   e   v   e   n,"('s   t   e   v   e   n', 'NN')",0.0,0.0,0.0,0.0
289,7,a   c   c   e   p   t   a   b   l  ,"('a   c   c   e   p   t   a   b   l  ', 'NN')",0.0,0.0,0.0,0.0
544,7,e   n   a   b   l   e   d,"('e   n   a   b   l   e   d', 'NN')",0.0,0.0,0.0,0.0
681,7,b   o   o   t   s   t   r   a   p,"('b   o   o   t   s   t   r   a   p', 'NN')",0.0,0.0,0.0,0.0
978,7,c   o   n   s   i   d   e   r,"('c   o   n   s   i   d   e   r', 'NN')",0.0,0.0,0.0,0.0
1279,7,t   e   c   h   n   i   q   u  ,"('t   e   c   h   n   i   q   u  ', 'NN')",0.0,0.0,0.0,0.0
567,7,p   h   o   n  ,"('p   h   o   n  ', 'NN')",0.0,0.0,0.0,0.0
1080,7,p   r   o   d   u   c   e   d,"('p   r   o   d   u   c   e   d', 'NN')",0.0,0.0,0.0,0.0
370,7,g   e   n   e   r   a   l   l   i,"('g   e   n   e   r   a   l   l   i', 'NN')",0.0,0.0,0.0,0.0
183,7,d   r   i   v   e   r,"('d   r   i   v   e   r', 'NN')",0.0,0.0,0.0,0.0
702,7,a   n   a   l   y   z  ,"('a   n   a   l   y   z  ', 'NN')",0.0,0.0,0.0,0.0
816,7,u   p   d   a   t   i   n   g,"('u   p   d   a   t   i   n   g', 'JJ')",0.0,0.0,0.0,0.0
4506,7,g   o   o   d   h  ,"('g   o   o   d   h  ', 'NN')",0.0,0.0,0.0,0.0
4112,7,t   e   c   h   n   i   c   i   a   n,"('t   e   c   h   n   i   c   i   a   n', 'NN')",0.0,0.0,0.0,0.0
4523,7,d   e   t   e   r   m   i   n   a   t   i   o   n,"('d   e   t   e   r   m   i   n   a   t   i   o   n', 'NN')",0.0,0.0,0.0,0.0
4207,7,n   i   c   k   s   o   n,"('n   i   c   k   s   o   n', 'JJ')",0.0,0.0,0.0,0.0
871,7,u  ,"('u  ', 'JJ')",0.0,0.0,0.0,0.0
170,7,i   d   e   a,"('i   d   e   a', 'NN')",0.0,0.0,0.0,0.0
429,7,h   e   a   l   t   h,"('h   e   a   l   t   h', 'NN')",0.0,0.0,0.0,0.0
680,7,c   u   s   t   o   m,"('c   u   s   t   o   m', 'NN')",0.0,0.0,0.0,0.0
4573,7,r   a   s   h   i   d   a   h,"('r   a   s   h   i   d   a   h', 'NN')",0.0,0.0,0.0,0.0
838,7,m   o   t   i   v   a   t   e   d,"('m   o   t   i   v   a   t   e   d', 'NN')",0.0,0.0,0.0,0.0
1328,7,i   n   s   t   a   l   l   a   t   i   o   n,"('i   n   s   t   a   l   l   a   t   i   o   n', 'NN')",0.0,0.0,0.0,0.0
220,7,t   o   p   i   c,"('t   o   p   i   c', 'NN')",0.0,0.0,0.0,0.0
3790,6,p   a   t   i   e   n   c  ,"('p   a   t   i   e   n   c  ', 'NN')",0.0,0.0,0.0,0.0
1555,6,p   r   o   g   r   e   s   s   i   v   e   c   h   a   l   l   e   n   g   e   d,"('p   r   o   g   r   e   s   s   i   v   e   c   h   a   l   l   e   n   g   e   d', 'NN')",0.0,0.0,0.0,0.0
1794,6,m   w   e   s   i   g   w   a,"('m   w   e   s   i   g   w   a', 'NN')",0.0,0.0,0.0,0.0
2209,6,u   p   l   o   a   d,"('u   p   l   o   a   d', 'JJ')",0.0,0.0,0.0,0.0
703,6,h   a   n   d   e   d,"('h   a   n   d   e   d', 'NN')",0.0,0.0,0.0,0.0
970,6,b   r   i   g   h   t,"('b   r   i   g   h   t', 'NN')",0.0,0.0,0.0,0.0
2546,6,s   h   o   w   i   n   g,"('s   h   o   w   i   n   g', 'NN')",0.0,0.0,0.0,0.0
1566,6,d   i   d   n   t,"('d   i   d   n   t', 'NN')",0.0,0.0,0.0,0.0
3230,6,j   o   b   c   o   n   n   e   c   t,"('j   o   b   c   o   n   n   e   c   t', 'NN')",0.0,0.0,0.0,0.0
2161,6,g   l   o   r   i   a,"('g   l   o   r   i   a', 'NN')",0.0,0.0,0.0,0.0
1796,6,f   o   r   t   u   n   a   t   e   l   i,"('f   o   r   t   u   n   a   t   e   l   i', 'NN')",0.0,0.0,0.0,0.0
4491,6,c   o   m   p   l   i   a   n   t,"('c   o   m   p   l   i   a   n   t', 'NN')",0.0,0.0,0.0,0.0
2630,6,c   o   n   d   u   c   t   e   d,"('c   o   n   d   u   c   t   e   d', 'NN')",0.0,0.0,0.0,0.0
1500,6,r   e   c   o   m   m   e   n   d   e   d,"('r   e   c   o   m   m   e   n   d   e   d', 'NN')",0.0,0.0,0.0,0.0
2142,6,j   o   i   n,"('j   o   i   n', 'NN')",0.0,0.0,0.0,0.0
4369,6,m   e   r   c   i,"('m   e   r   c   i', 'NN')",0.0,0.0,0.0,0.0
948,6,r   e   q   u   e   s   t   e   d,"('r   e   q   u   e   s   t   e   d', 'NN')",0.0,0.0,0.0,0.0
2613,6,l   e   t   i   c   i   a,"('l   e   t   i   c   i   a', 'NN')",0.0,0.0,0.0,0.0
951,6,c   a   p   a   b   i   l   i   t   i,"('c   a   p   a   b   i   l   i   t   i', 'NN')",0.0,0.0,0.0,0.0
2608,6,s   a   m   s   o   n,"('s   a   m   s   o   n', 'NN')",0.0,0.0,0.0,0.0
2165,6,p   r   o   g   r   e   s   s   i   v   e   i,"('p   r   o   g   r   e   s   s   i   v   e   i', 'NN')",0.0,0.0,0.0,0.0
3155,6,u   p   d   a   t   e   d,"('u   p   d   a   t   e   d', 'JJ')",0.0,0.0,0.0,0.0
2603,6,f   r   u   s   t   r   a   t  ,"('f   r   u   s   t   r   a   t  ', 'NN')",0.0,0.0,0.0,0.0
384,6,a   m   o   u   n   t,"('a   m   o   u   n   t', 'NN')",0.0,0.0,0.0,0.0
2166,6,w   a   l   t   e   r,"('w   a   l   t   e   r', 'VBD')",0.0,0.0,0.0,0.0
3163,6,a   b   i   l   i   t   i,"('a   b   i   l   i   t   i', 'RB')",0.0,0.0,0.0,0.0
3556,6,7,"('7', 'CD')",0.0,0.0,0.0,0.0
2175,6,r   y   a   n,"('r   y   a   n', 'NN')",0.0,0.0,0.0,0.0
1208,6,f   o   u   n   d   a   t   i   o   n,"('f   o   u   n   d   a   t   i   o   n', 'NN')",0.0,0.0,0.0,0.0
2176,6,s   a   t   i   s   f   a   c   t   o   r   i,"('s   a   t   i   s   f   a   c   t   o   r   i', 'NN')",0.0,0.0,0.0,0.0
707,6,v   i   s   u   a   l   i   z   a   t   i   o   n,"('v   i   s   u   a   l   i   z   a   t   i   o   n', 'NN')",0.0,0.0,0.0,0.0
2180,6,m   i   c   h   e   a   l,"('m   i   c   h   e   a   l', 'NN')",0.0,0.0,0.0,0.0
3190,6,t   a   r   g   e   t,"('t   a   r   g   e   t', 'NN')",0.0,0.0,0.0,0.0
2571,6,e   x   p   l   o   r   a   t   i   o   n,"('e   x   p   l   o   r   a   t   i   o   n', 'NN')",0.0,0.0,0.0,0.0
406,6,p   u   l   l,"('p   u   l   l', 'NN')",0.0,0.0,0.0,0.0
4285,6,c   a   r   e   f   u   l,"('c   a   r   e   f   u   l', 'NN')",0.0,0.0,0.0,0.0
2560,6,s   s   h,"('s   s   h', 'NN')",0.0,0.0,0.0,0.0
423,6,r   e   v   i   e   w,"('r   e   v   i   e   w', 'NN')",0.0,0.0,0.0,0.0
407,6,r   e   q   u   e   s   t,"('r   e   q   u   e   s   t', 'NN')",0.0,0.0,0.0,0.0
4749,6,w   i   l   l   i   a   m,"('w   i   l   l   i   a   m', 'NN')",0.0,0.0,0.0,0.0
3896,6,l   u   t   a   l   o,"('l   u   t   a   l   o', 'NN')",0.0,0.0,0.0,0.0
1064,6,l   i   s   t,"('l   i   s   t', 'NN')",0.0,0.0,0.0,0.0
3874,6,l   i   b   r   a   r   i,"('l   i   b   r   a   r   i', 'NN')",0.0,0.0,0.0,0.0
3831,6,w   i   n   n   i  ,"('w   i   n   n   i  ', 'NN')",0.0,0.0,0.0,0.0
529,6,e   x   i   s   t   i   n   g,"('e   x   i   s   t   i   n   g', 'NN')",0.0,0.0,0.0,0.0
533,6,l   u   c   k,"('l   u   c   k', 'NN')",0.0,0.0,0.0,0.0
536,6,f   i   x,"('f   i   x', 'NN')",0.0,0.0,0.0,0.0
3409,6,i   n   f   o   r   m,"('i   n   f   o   r   m', 'NN')",0.0,0.0,0.0,0.0
2338,6,f   u   n   c   t   i   o   n   a   l   i   t   i,"('f   u   n   c   t   i   o   n   a   l   i   t   i', 'NN')",0.0,0.0,0.0,0.0
3334,6,f   a   i   l   u   r  ,"('f   a   i   l   u   r  ', 'NN')",0.0,0.0,0.0,0.0
597,6,p   o   s   t,"('p   o   s   t', 'NN')",0.0,0.0,0.0,0.0
593,6,e   a   s   i   e   r,"('e   a   s   i   e   r', 'NN')",0.0,0.0,0.0,0.0
4447,6,a   m   b   r   o   z   i   o,"('a   m   b   r   o   z   i   o', 'NN')",0.0,0.0,0.0,0.0
4201,6,t   u   r   n,"('t   u   r   n', 'NN')",0.0,0.0,0.0,0.0
2400,6,f   l   o   w,"('f   l   o   w', 'NN')",0.0,0.0,0.0,0.0
1568,6,t   e   c   h   n   i   c   a   l   l   i,"('t   e   c   h   n   i   c   a   l   l   i', 'NN')",0.0,0.0,0.0,0.0
1694,6,m   e   t   h   o   d   o   l   o   g   i,"('m   e   t   h   o   d   o   l   o   g   i', 'NN')",0.0,0.0,0.0,0.0
1659,6,d   e   s   i   r   e   d,"('d   e   s   i   r   e   d', 'NN')",0.0,0.0,0.0,0.0
2396,6,f   o   r   m,"('f   o   r   m', 'NN')",0.0,0.0,0.0,0.0
561,6,p   o   s   i   t   i   o   n,"('p   o   s   i   t   i   o   n', 'NN')",0.0,0.0,0.0,0.0
3855,6,e   v  ,"('e   v  ', 'NN')",0.0,0.0,0.0,0.0
1666,6,w   h   a   t   s   a   p   p,"('w   h   a   t   s   a   p   p', 'NN')",0.0,0.0,0.0,0.0
2392,6,a   p   p   l   i   e   d,"('a   p   p   l   i   e   d', 'NN')",0.0,0.0,0.0,0.0
4442,6,o   w   e   n,"('o   w   e   n', 'NN')",0.0,0.0,0.0,0.0
1091,6,l   i   k  ,"('l   i   k  ', 'NN')",0.0,0.0,0.0,0.0
1684,6,e   n   e   r   g   i,"('e   n   e   r   g   i', 'NN')",0.0,0.0,0.0,0.0
2360,6,l   e   a   s   t,"('l   e   a   s   t', 'NN')",0.0,0.0,0.0,0.0
3842,6,m   a   r   t   i   n,"('m   a   r   t   i   n', 'NN')",0.0,0.0,0.0,0.0
3419,6,s   y   d   e   n,"('s   y   d   e   n', 'NN')",0.0,0.0,0.0,0.0
1037,6,a   c   t   i   v   e   l   i,"('a   c   t   i   v   e   l   i', 'NN')",0.0,0.0,0.0,0.0
3299,6,g   o   a   l,"('g   o   a   l', 'NN')",0.0,0.0,0.0,0.0
1030,6,s   e   n   d,"('s   e   n   d', 'NN')",0.0,0.0,0.0,0.0
1784,6,z   o   n  ,"('z   o   n  ', 'NN')",0.0,0.0,0.0,0.0
1779,6,k   a   t   u   m   b   a,"('k   a   t   u   m   b   a', 'NN')",0.0,0.0,0.0,0.0
2522,6,f   o   u   r,"('f   o   u   r', 'NN')",0.0,0.0,0.0,0.0
